Inmobiliaria,Presentation,Imagen_Inmobiliaria,URL_Inmobiliaria,Proyecto,Distrito_Proyecto,URL_Proyecto,Direccion_Proyecto,Tipo_Proyecto,Estado_Proyecto,Release_Date_Proyecto,Banco_Proyecto,Modelo_Vivienda,NroPiso_Vivienda,NroDormitorios_Vivienda,Area_Vivienda,Precio_Vivienda,Unidades_Vivienda,URL_Image_Vivienda,Areas_Comunes_Vivienda
ZUMA,"ZUMA INMOBILIARIA S.A.C. es una empresa dedicada a la concepción, desarrollo, construcción y promoción de emprendimientos inmobiliarios en el Perú, comprometida con la identificación de las  necesidades del mercado y la innovación en el desarrollo de las soluciones a problemas reales de sus clientes.",https://dp34qvsykz8fe.cloudfront.net/customers/zuma-inmobiliaria/logo-185-20180522191826.jpg,https://nexoinmobiliario.pe/inmobiliaria/zuma-inmobiliaria,Soho Libertad,Miraflores,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-1004-soho-libertad-miraflores-lima-lima-zuma,Calle Libertad N° 174Cercado De Miraflores - Miraflores,Departamento,Entregainmediata,"01deJulio,2019",BancoBCP,504,Piso:5,2,130.79m2,"$268,400",1,https://dp34qvsykz8fe.cloudfront.net/customers/zuma-inmobiliaria/1004-soho-libertad/planos-soho-libertad-5d5b104ccc2ee_s.png,"Areas verdes,Jardin interior,Lobby,Sala de usos Múltiples,	Salon Gourmet,Terraza,Video vigilancia,Otros,"
ZUMA,"ZUMA INMOBILIARIA S.A.C. es una empresa dedicada a la concepción, desarrollo, construcción y promoción de emprendimientos inmobiliarios en el Perú, comprometida con la identificación de las  necesidades del mercado y la innovación en el desarrollo de las soluciones a problemas reales de sus clientes.",https://dp34qvsykz8fe.cloudfront.net/customers/zuma-inmobiliaria/logo-185-20180522191826.jpg,https://nexoinmobiliario.pe/inmobiliaria/zuma-inmobiliaria,Soho Libertad,Miraflores,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-1004-soho-libertad-miraflores-lima-lima-zuma,Calle Libertad N° 174Cercado De Miraflores - Miraflores,Departamento,Entregainmediata,"01deJulio,2019",BancoBCP,606,Piso:6,2,100.98m2,"$262,200",1,https://dp34qvsykz8fe.cloudfront.net/customers/zuma-inmobiliaria/1004-soho-libertad/planos-soho-libertad-5d5b10c68bb54_s.png,"Areas verdes,Jardin interior,Lobby,Sala de usos Múltiples,	Salon Gourmet,Terraza,Video vigilancia,Otros,"
ZUMA,"ZUMA INMOBILIARIA S.A.C. es una empresa dedicada a la concepción, desarrollo, construcción y promoción de emprendimientos inmobiliarios en el Perú, comprometida con la identificación de las  necesidades del mercado y la innovación en el desarrollo de las soluciones a problemas reales de sus clientes.",https://dp34qvsykz8fe.cloudfront.net/customers/zuma-inmobiliaria/logo-185-20180522191826.jpg,https://nexoinmobiliario.pe/inmobiliaria/zuma-inmobiliaria,Soho Libertad,Miraflores,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-1004-soho-libertad-miraflores-lima-lima-zuma,Calle Libertad N° 174Cercado De Miraflores - Miraflores,Departamento,Entregainmediata,"01deJulio,2019",BancoBCP,DUPLEX508,Piso:5,2,137.20m2,"$294,700",1,https://dp34qvsykz8fe.cloudfront.net/customers/zuma-inmobiliaria/1004-soho-libertad/planos-soho-libertad-5ae256673cbf6_s.jpg,"Areas verdes,Jardin interior,Lobby,Sala de usos Múltiples,	Salon Gourmet,Terraza,Video vigilancia,Otros,"
ZUMA,"ZUMA INMOBILIARIA S.A.C. es una empresa dedicada a la concepción, desarrollo, construcción y promoción de emprendimientos inmobiliarios en el Perú, comprometida con la identificación de las  necesidades del mercado y la innovación en el desarrollo de las soluciones a problemas reales de sus clientes.",https://dp34qvsykz8fe.cloudfront.net/customers/zuma-inmobiliaria/logo-185-20180522191826.jpg,https://nexoinmobiliario.pe/inmobiliaria/zuma-inmobiliaria,Soho Libertad,Miraflores,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-1004-soho-libertad-miraflores-lima-lima-zuma,Calle Libertad N° 174Cercado De Miraflores - Miraflores,Departamento,Entregainmediata,"01deJulio,2019",BancoBCP,DUPLEX608,Piso:6,2,134.59m2,"$308,400",1,https://dp34qvsykz8fe.cloudfront.net/customers/zuma-inmobiliaria/1004-soho-libertad/planos-soho-libertad-5ae2566769452_s.jpg,"Areas verdes,Jardin interior,Lobby,Sala de usos Múltiples,	Salon Gourmet,Terraza,Video vigilancia,Otros,"
ZUMA,"ZUMA INMOBILIARIA S.A.C. es una empresa dedicada a la concepción, desarrollo, construcción y promoción de emprendimientos inmobiliarios en el Perú, comprometida con la identificación de las  necesidades del mercado y la innovación en el desarrollo de las soluciones a problemas reales de sus clientes.",https://dp34qvsykz8fe.cloudfront.net/customers/zuma-inmobiliaria/logo-185-20180522191826.jpg,https://nexoinmobiliario.pe/inmobiliaria/zuma-inmobiliaria,Soho Libertad,Miraflores,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-1004-soho-libertad-miraflores-lima-lima-zuma,Calle Libertad N° 174Cercado De Miraflores - Miraflores,Departamento,Entregainmediata,"01deJulio,2019",BancoBCP,DUPLEX701,Piso:7,1,157.96m2,"$284,100",1,https://dp34qvsykz8fe.cloudfront.net/customers/zuma-inmobiliaria/1004-soho-libertad/planos-soho-libertad-5ae25667745fe_s.jpg,"Areas verdes,Jardin interior,Lobby,Sala de usos Múltiples,	Salon Gourmet,Terraza,Video vigilancia,Otros,"
ZUMA,"ZUMA INMOBILIARIA S.A.C. es una empresa dedicada a la concepción, desarrollo, construcción y promoción de emprendimientos inmobiliarios en el Perú, comprometida con la identificación de las  necesidades del mercado y la innovación en el desarrollo de las soluciones a problemas reales de sus clientes.",https://dp34qvsykz8fe.cloudfront.net/customers/zuma-inmobiliaria/logo-185-20180522191826.jpg,https://nexoinmobiliario.pe/inmobiliaria/zuma-inmobiliaria,Soho Libertad,Miraflores,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-1004-soho-libertad-miraflores-lima-lima-zuma,Calle Libertad N° 174Cercado De Miraflores - Miraflores,Departamento,Entregainmediata,"01deJulio,2019",BancoBCP,DUPLEX702,Piso:7,2,191.38m2,"$352,500",1,https://dp34qvsykz8fe.cloudfront.net/customers/zuma-inmobiliaria/1004-soho-libertad/planos-soho-libertad-5ae2566780012_s.jpg,"Areas verdes,Jardin interior,Lobby,Sala de usos Múltiples,	Salon Gourmet,Terraza,Video vigilancia,Otros,"
ZUMA,"ZUMA INMOBILIARIA S.A.C. es una empresa dedicada a la concepción, desarrollo, construcción y promoción de emprendimientos inmobiliarios en el Perú, comprometida con la identificación de las  necesidades del mercado y la innovación en el desarrollo de las soluciones a problemas reales de sus clientes.",https://dp34qvsykz8fe.cloudfront.net/customers/zuma-inmobiliaria/logo-185-20180522191826.jpg,https://nexoinmobiliario.pe/inmobiliaria/zuma-inmobiliaria,Soho Libertad,Miraflores,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-1004-soho-libertad-miraflores-lima-lima-zuma,Calle Libertad N° 174Cercado De Miraflores - Miraflores,Departamento,Entregainmediata,"01deJulio,2019",BancoBCP,DUPLEX703,Piso:7,2,203.98m2,"$379,100",1,https://dp34qvsykz8fe.cloudfront.net/customers/zuma-inmobiliaria/1004-soho-libertad/planos-soho-libertad-5ae256678ae71_s.jpg,"Areas verdes,Jardin interior,Lobby,Sala de usos Múltiples,	Salon Gourmet,Terraza,Video vigilancia,Otros,"
ZUMA,"ZUMA INMOBILIARIA S.A.C. es una empresa dedicada a la concepción, desarrollo, construcción y promoción de emprendimientos inmobiliarios en el Perú, comprometida con la identificación de las  necesidades del mercado y la innovación en el desarrollo de las soluciones a problemas reales de sus clientes.",https://dp34qvsykz8fe.cloudfront.net/customers/zuma-inmobiliaria/logo-185-20180522191826.jpg,https://nexoinmobiliario.pe/inmobiliaria/zuma-inmobiliaria,Soho Libertad,Miraflores,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-1004-soho-libertad-miraflores-lima-lima-zuma,Calle Libertad N° 174Cercado De Miraflores - Miraflores,Departamento,Entregainmediata,"01deJulio,2019",BancoBCP,DUPLEX704,Piso:7,2,202.12m2,"$369,200",1,https://dp34qvsykz8fe.cloudfront.net/customers/zuma-inmobiliaria/1004-soho-libertad/planos-soho-libertad-5ae2566795aac_s.jpg,"Areas verdes,Jardin interior,Lobby,Sala de usos Múltiples,	Salon Gourmet,Terraza,Video vigilancia,Otros,"
ZUMA,"ZUMA INMOBILIARIA S.A.C. es una empresa dedicada a la concepción, desarrollo, construcción y promoción de emprendimientos inmobiliarios en el Perú, comprometida con la identificación de las  necesidades del mercado y la innovación en el desarrollo de las soluciones a problemas reales de sus clientes.",https://dp34qvsykz8fe.cloudfront.net/customers/zuma-inmobiliaria/logo-185-20180522191826.jpg,https://nexoinmobiliario.pe/inmobiliaria/zuma-inmobiliaria,Soho Libertad,Miraflores,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-1004-soho-libertad-miraflores-lima-lima-zuma,Calle Libertad N° 174Cercado De Miraflores - Miraflores,Departamento,Entregainmediata,"01deJulio,2019",BancoBCP,DUPLEX705,Piso:7,1,159.91m2,"$300,700",1,https://dp34qvsykz8fe.cloudfront.net/customers/zuma-inmobiliaria/1004-soho-libertad/planos-soho-libertad-5ae25667a076f_s.jpg,"Areas verdes,Jardin interior,Lobby,Sala de usos Múltiples,	Salon Gourmet,Terraza,Video vigilancia,Otros,"
ZUMA,"ZUMA INMOBILIARIA S.A.C. es una empresa dedicada a la concepción, desarrollo, construcción y promoción de emprendimientos inmobiliarios en el Perú, comprometida con la identificación de las  necesidades del mercado y la innovación en el desarrollo de las soluciones a problemas reales de sus clientes.",https://dp34qvsykz8fe.cloudfront.net/customers/zuma-inmobiliaria/logo-185-20180522191826.jpg,https://nexoinmobiliario.pe/inmobiliaria/zuma-inmobiliaria,Soho Libertad,Miraflores,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-1004-soho-libertad-miraflores-lima-lima-zuma,Calle Libertad N° 174Cercado De Miraflores - Miraflores,Departamento,Entregainmediata,"01deJulio,2019",BancoBCP,DUPLEX706,Piso:7,2,210.49m2,"$385,900",1,https://dp34qvsykz8fe.cloudfront.net/customers/zuma-inmobiliaria/1004-soho-libertad/planos-soho-libertad-5ae25667abab6_s.jpg,"Areas verdes,Jardin interior,Lobby,Sala de usos Múltiples,	Salon Gourmet,Terraza,Video vigilancia,Otros,"
ZUMA,"ZUMA INMOBILIARIA S.A.C. es una empresa dedicada a la concepción, desarrollo, construcción y promoción de emprendimientos inmobiliarios en el Perú, comprometida con la identificación de las  necesidades del mercado y la innovación en el desarrollo de las soluciones a problemas reales de sus clientes.",https://dp34qvsykz8fe.cloudfront.net/customers/zuma-inmobiliaria/logo-185-20180522191826.jpg,https://nexoinmobiliario.pe/inmobiliaria/zuma-inmobiliaria,Soho Libertad,Miraflores,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-1004-soho-libertad-miraflores-lima-lima-zuma,Calle Libertad N° 174Cercado De Miraflores - Miraflores,Departamento,Entregainmediata,"01deJulio,2019",BancoBCP,DUPLEX707,Piso:7,2,211.43m2,"$384,200",1,https://dp34qvsykz8fe.cloudfront.net/customers/zuma-inmobiliaria/1004-soho-libertad/planos-soho-libertad-5ae25667b6804_s.jpg,"Areas verdes,Jardin interior,Lobby,Sala de usos Múltiples,	Salon Gourmet,Terraza,Video vigilancia,Otros,"
ZUMA,"ZUMA INMOBILIARIA S.A.C. es una empresa dedicada a la concepción, desarrollo, construcción y promoción de emprendimientos inmobiliarios en el Perú, comprometida con la identificación de las  necesidades del mercado y la innovación en el desarrollo de las soluciones a problemas reales de sus clientes.",https://dp34qvsykz8fe.cloudfront.net/customers/zuma-inmobiliaria/logo-185-20180522191826.jpg,https://nexoinmobiliario.pe/inmobiliaria/zuma-inmobiliaria,SoHo Life,Miraflores,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-1549-soho-life-miraflores-lima-lima-zuma,Calle Berlin 644 - Miraflores,Departamento,Enplanos,"31deDiciembre,2020",Otros,TipoX01,Piso:2,2,99.97m2,"$254,800",1,https://dp34qvsykz8fe.cloudfront.net/customers/zuma-inmobiliaria/1549-soho-life/planos-soho-life-5db310f2e6d76_s.jpg,"Areas verdes,Cuarto servicio,Gimnasio,Lobby,Terraza,Zona de Lavandería,Zona de Parrillas,"
ZUMA,"ZUMA INMOBILIARIA S.A.C. es una empresa dedicada a la concepción, desarrollo, construcción y promoción de emprendimientos inmobiliarios en el Perú, comprometida con la identificación de las  necesidades del mercado y la innovación en el desarrollo de las soluciones a problemas reales de sus clientes.",https://dp34qvsykz8fe.cloudfront.net/customers/zuma-inmobiliaria/logo-185-20180522191826.jpg,https://nexoinmobiliario.pe/inmobiliaria/zuma-inmobiliaria,SoHo Life,Miraflores,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-1549-soho-life-miraflores-lima-lima-zuma,Calle Berlin 644 - Miraflores,Departamento,Enplanos,"31deDiciembre,2020",Otros,TipoX02,"Pisos:4,6,7",1,83.27m2,"$219,700",3,https://dp34qvsykz8fe.cloudfront.net/customers/zuma-inmobiliaria/1549-soho-life/planos-soho-life-5db30b53d474a_s.jpg,"Areas verdes,Cuarto servicio,Gimnasio,Lobby,Terraza,Zona de Lavandería,Zona de Parrillas,"
ZUMA,"ZUMA INMOBILIARIA S.A.C. es una empresa dedicada a la concepción, desarrollo, construcción y promoción de emprendimientos inmobiliarios en el Perú, comprometida con la identificación de las  necesidades del mercado y la innovación en el desarrollo de las soluciones a problemas reales de sus clientes.",https://dp34qvsykz8fe.cloudfront.net/customers/zuma-inmobiliaria/logo-185-20180522191826.jpg,https://nexoinmobiliario.pe/inmobiliaria/zuma-inmobiliaria,SoHo Life,Miraflores,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-1549-soho-life-miraflores-lima-lima-zuma,Calle Berlin 644 - Miraflores,Departamento,Enplanos,"31deDiciembre,2020",Otros,TipoX04,Pisos:Entre2al7,2,99.87m2,"$252,700",6,https://dp34qvsykz8fe.cloudfront.net/customers/zuma-inmobiliaria/1549-soho-life/planos-soho-life-5db30bb05f2a5_s.jpg,"Areas verdes,Cuarto servicio,Gimnasio,Lobby,Terraza,Zona de Lavandería,Zona de Parrillas,"
ZUMA,"ZUMA INMOBILIARIA S.A.C. es una empresa dedicada a la concepción, desarrollo, construcción y promoción de emprendimientos inmobiliarios en el Perú, comprometida con la identificación de las  necesidades del mercado y la innovación en el desarrollo de las soluciones a problemas reales de sus clientes.",https://dp34qvsykz8fe.cloudfront.net/customers/zuma-inmobiliaria/logo-185-20180522191826.jpg,https://nexoinmobiliario.pe/inmobiliaria/zuma-inmobiliaria,SoHo Life,Miraflores,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-1549-soho-life-miraflores-lima-lima-zuma,Calle Berlin 644 - Miraflores,Departamento,Enplanos,"31deDiciembre,2020",Otros,TipoX05,Pisos:2y4,2,98.72m2,"$245,200",2,https://dp34qvsykz8fe.cloudfront.net/customers/zuma-inmobiliaria/1549-soho-life/planos-soho-life-5db30bcc0ee18_s.jpg,"Areas verdes,Cuarto servicio,Gimnasio,Lobby,Terraza,Zona de Lavandería,Zona de Parrillas,"
ZUMA,"ZUMA INMOBILIARIA S.A.C. es una empresa dedicada a la concepción, desarrollo, construcción y promoción de emprendimientos inmobiliarios en el Perú, comprometida con la identificación de las  necesidades del mercado y la innovación en el desarrollo de las soluciones a problemas reales de sus clientes.",https://dp34qvsykz8fe.cloudfront.net/customers/zuma-inmobiliaria/logo-185-20180522191826.jpg,https://nexoinmobiliario.pe/inmobiliaria/zuma-inmobiliaria,SoHo Life,Miraflores,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-1549-soho-life-miraflores-lima-lima-zuma,Calle Berlin 644 - Miraflores,Departamento,Enplanos,"31deDiciembre,2020",Otros,TipoX03,"Pisos:3,5,6,7",2,97.86m2,"$246,000",4,https://dp34qvsykz8fe.cloudfront.net/customers/zuma-inmobiliaria/1549-soho-life/planos-soho-life-5db30bf6e1651_s.jpg,"Areas verdes,Cuarto servicio,Gimnasio,Lobby,Terraza,Zona de Lavandería,Zona de Parrillas,"
ZUMA,"ZUMA INMOBILIARIA S.A.C. es una empresa dedicada a la concepción, desarrollo, construcción y promoción de emprendimientos inmobiliarios en el Perú, comprometida con la identificación de las  necesidades del mercado y la innovación en el desarrollo de las soluciones a problemas reales de sus clientes.",https://dp34qvsykz8fe.cloudfront.net/customers/zuma-inmobiliaria/logo-185-20180522191826.jpg,https://nexoinmobiliario.pe/inmobiliaria/zuma-inmobiliaria,Soho Libertad Oficinas,Miraflores,https://nexoinmobiliario.pe/proyecto/venta-de-oficina-998-soho-libertad-oficinas-miraflores-lima-lima-zuma,Calle Libertad N° 174Cercado De Miraflores - Miraflores,Oficina,"01deJulio,2019",BancoBCP,ZUMAVerotrosproyectos>,SS02,Piso:,,71.83m2,"$163,700",1,https://dp34qvsykz8fe.cloudfront.net/customers/zuma-inmobiliaria/998-soho-libertad/planos-soho-libertad-5ae256652c331_s.jpg,"Cafetería,Directorio,Lobby,Salas de Reuniones,Otros,"
