Inmobiliaria,Presentation,Imagen_Inmobiliaria,URL_Inmobiliaria,Proyecto,Distrito_Proyecto,URL_Proyecto,Direccion_Proyecto,Tipo_Proyecto,Estado_Proyecto,Release_Date_Proyecto,Banco_Proyecto,Modelo_Vivienda,NroPiso_Vivienda,NroDormitorios_Vivienda,Area_Vivienda,Precio_Vivienda,Unidades_Vivienda,URL_Image_Vivienda,Areas_Comunes_Vivienda
ZUMA,"ZUMA INMOBILIARIA S.A.C. es una empresa dedicada a la concepción, desarrollo, construcción y promoción de emprendimientos inmobiliarios en el Perú, comprometida con la identificación de las  necesidades del mercado y la innovación en el desarrollo de las soluciones a problemas reales de sus clientes.",https://dp34qvsykz8fe.cloudfront.net/customers/zuma-inmobiliaria/logo-185-20180522191826.jpg,https://nexoinmobiliario.pe/inmobiliaria/zuma-inmobiliaria,Soho Libertad,Miraflores,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-1004-soho-libertad-miraflores-lima-lima-zuma,Calle Libertad N° 174Cercado De Miraflores - Miraflores,Departamento,Entregainmediata,"01deJulio,2019",BancoBCP,DUPLEX705,Piso:7,1,159.91m2,"$300,700",1,https://dp34qvsykz8fe.cloudfront.net/customers/zuma-inmobiliaria/1004-soho-libertad/planos-soho-libertad-5ae25667a076f_s.jpg,"Areas verdes,Jardin interior,Lobby,Sala de usos Múltiples,	Salon Gourmet,Terraza,Video vigilancia,Otros,"
ZUMA,"ZUMA INMOBILIARIA S.A.C. es una empresa dedicada a la concepción, desarrollo, construcción y promoción de emprendimientos inmobiliarios en el Perú, comprometida con la identificación de las  necesidades del mercado y la innovación en el desarrollo de las soluciones a problemas reales de sus clientes.",https://dp34qvsykz8fe.cloudfront.net/customers/zuma-inmobiliaria/logo-185-20180522191826.jpg,https://nexoinmobiliario.pe/inmobiliaria/zuma-inmobiliaria,Soho Libertad,Miraflores,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-1004-soho-libertad-miraflores-lima-lima-zuma,Calle Libertad N° 174Cercado De Miraflores - Miraflores,Departamento,Entregainmediata,"01deJulio,2019",BancoBCP,DUPLEX706,Piso:7,2,210.49m2,"$385,900",1,https://dp34qvsykz8fe.cloudfront.net/customers/zuma-inmobiliaria/1004-soho-libertad/planos-soho-libertad-5ae25667abab6_s.jpg,"Areas verdes,Jardin interior,Lobby,Sala de usos Múltiples,	Salon Gourmet,Terraza,Video vigilancia,Otros,"
ZUMA,"ZUMA INMOBILIARIA S.A.C. es una empresa dedicada a la concepción, desarrollo, construcción y promoción de emprendimientos inmobiliarios en el Perú, comprometida con la identificación de las  necesidades del mercado y la innovación en el desarrollo de las soluciones a problemas reales de sus clientes.",https://dp34qvsykz8fe.cloudfront.net/customers/zuma-inmobiliaria/logo-185-20180522191826.jpg,https://nexoinmobiliario.pe/inmobiliaria/zuma-inmobiliaria,Soho Libertad,Miraflores,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-1004-soho-libertad-miraflores-lima-lima-zuma,Calle Libertad N° 174Cercado De Miraflores - Miraflores,Departamento,Entregainmediata,"01deJulio,2019",BancoBCP,DUPLEX707,Piso:7,2,211.43m2,"$384,200",1,https://dp34qvsykz8fe.cloudfront.net/customers/zuma-inmobiliaria/1004-soho-libertad/planos-soho-libertad-5ae25667b6804_s.jpg,"Areas verdes,Jardin interior,Lobby,Sala de usos Múltiples,	Salon Gourmet,Terraza,Video vigilancia,Otros,"
ZUMA,"ZUMA INMOBILIARIA S.A.C. es una empresa dedicada a la concepción, desarrollo, construcción y promoción de emprendimientos inmobiliarios en el Perú, comprometida con la identificación de las  necesidades del mercado y la innovación en el desarrollo de las soluciones a problemas reales de sus clientes.",https://dp34qvsykz8fe.cloudfront.net/customers/zuma-inmobiliaria/logo-185-20180522191826.jpg,https://nexoinmobiliario.pe/inmobiliaria/zuma-inmobiliaria,SoHo Life,Miraflores,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-1549-soho-life-miraflores-lima-lima-zuma,Calle Berlin 644 - Miraflores,Departamento,Enplanos,"31deDiciembre,2020",Otros,TipoX01,Piso:2,2,99.97m2,"$254,800",1,https://dp34qvsykz8fe.cloudfront.net/customers/zuma-inmobiliaria/1549-soho-life/planos-soho-life-5db310f2e6d76_s.jpg,"Areas verdes,Cuarto servicio,Gimnasio,Lobby,Terraza,Zona de Lavandería,Zona de Parrillas,"
ZUMA,"ZUMA INMOBILIARIA S.A.C. es una empresa dedicada a la concepción, desarrollo, construcción y promoción de emprendimientos inmobiliarios en el Perú, comprometida con la identificación de las  necesidades del mercado y la innovación en el desarrollo de las soluciones a problemas reales de sus clientes.",https://dp34qvsykz8fe.cloudfront.net/customers/zuma-inmobiliaria/logo-185-20180522191826.jpg,https://nexoinmobiliario.pe/inmobiliaria/zuma-inmobiliaria,SoHo Life,Miraflores,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-1549-soho-life-miraflores-lima-lima-zuma,Calle Berlin 644 - Miraflores,Departamento,Enplanos,"31deDiciembre,2020",Otros,TipoX02,"Pisos:4,6,7",1,83.27m2,"$219,700",3,https://dp34qvsykz8fe.cloudfront.net/customers/zuma-inmobiliaria/1549-soho-life/planos-soho-life-5db30b53d474a_s.jpg,"Areas verdes,Cuarto servicio,Gimnasio,Lobby,Terraza,Zona de Lavandería,Zona de Parrillas,"
ZUMA,"ZUMA INMOBILIARIA S.A.C. es una empresa dedicada a la concepción, desarrollo, construcción y promoción de emprendimientos inmobiliarios en el Perú, comprometida con la identificación de las  necesidades del mercado y la innovación en el desarrollo de las soluciones a problemas reales de sus clientes.",https://dp34qvsykz8fe.cloudfront.net/customers/zuma-inmobiliaria/logo-185-20180522191826.jpg,https://nexoinmobiliario.pe/inmobiliaria/zuma-inmobiliaria,SoHo Life,Miraflores,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-1549-soho-life-miraflores-lima-lima-zuma,Calle Berlin 644 - Miraflores,Departamento,Enplanos,"31deDiciembre,2020",Otros,TipoX04,Pisos:Entre2al7,2,99.87m2,"$252,700",6,https://dp34qvsykz8fe.cloudfront.net/customers/zuma-inmobiliaria/1549-soho-life/planos-soho-life-5db30bb05f2a5_s.jpg,"Areas verdes,Cuarto servicio,Gimnasio,Lobby,Terraza,Zona de Lavandería,Zona de Parrillas,"
ZUMA,"ZUMA INMOBILIARIA S.A.C. es una empresa dedicada a la concepción, desarrollo, construcción y promoción de emprendimientos inmobiliarios en el Perú, comprometida con la identificación de las  necesidades del mercado y la innovación en el desarrollo de las soluciones a problemas reales de sus clientes.",https://dp34qvsykz8fe.cloudfront.net/customers/zuma-inmobiliaria/logo-185-20180522191826.jpg,https://nexoinmobiliario.pe/inmobiliaria/zuma-inmobiliaria,SoHo Life,Miraflores,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-1549-soho-life-miraflores-lima-lima-zuma,Calle Berlin 644 - Miraflores,Departamento,Enplanos,"31deDiciembre,2020",Otros,TipoX05,Pisos:2y4,2,98.72m2,"$245,200",2,https://dp34qvsykz8fe.cloudfront.net/customers/zuma-inmobiliaria/1549-soho-life/planos-soho-life-5db30bcc0ee18_s.jpg,"Areas verdes,Cuarto servicio,Gimnasio,Lobby,Terraza,Zona de Lavandería,Zona de Parrillas,"
ZUMA,"ZUMA INMOBILIARIA S.A.C. es una empresa dedicada a la concepción, desarrollo, construcción y promoción de emprendimientos inmobiliarios en el Perú, comprometida con la identificación de las  necesidades del mercado y la innovación en el desarrollo de las soluciones a problemas reales de sus clientes.",https://dp34qvsykz8fe.cloudfront.net/customers/zuma-inmobiliaria/logo-185-20180522191826.jpg,https://nexoinmobiliario.pe/inmobiliaria/zuma-inmobiliaria,SoHo Life,Miraflores,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-1549-soho-life-miraflores-lima-lima-zuma,Calle Berlin 644 - Miraflores,Departamento,Enplanos,"31deDiciembre,2020",Otros,TipoX03,"Pisos:3,5,6,7",2,97.86m2,"$246,000",4,https://dp34qvsykz8fe.cloudfront.net/customers/zuma-inmobiliaria/1549-soho-life/planos-soho-life-5db30bf6e1651_s.jpg,"Areas verdes,Cuarto servicio,Gimnasio,Lobby,Terraza,Zona de Lavandería,Zona de Parrillas,"
ZUMA,"ZUMA INMOBILIARIA S.A.C. es una empresa dedicada a la concepción, desarrollo, construcción y promoción de emprendimientos inmobiliarios en el Perú, comprometida con la identificación de las  necesidades del mercado y la innovación en el desarrollo de las soluciones a problemas reales de sus clientes.",https://dp34qvsykz8fe.cloudfront.net/customers/zuma-inmobiliaria/logo-185-20180522191826.jpg,https://nexoinmobiliario.pe/inmobiliaria/zuma-inmobiliaria,Soho Libertad Oficinas,Miraflores,https://nexoinmobiliario.pe/proyecto/venta-de-oficina-998-soho-libertad-oficinas-miraflores-lima-lima-zuma,Calle Libertad N° 174Cercado De Miraflores - Miraflores,Oficina,"01deJulio,2019",BancoBCP,ZUMAVerotrosproyectos>,SS02,Piso:,,71.83m2,"$163,700",1,https://dp34qvsykz8fe.cloudfront.net/customers/zuma-inmobiliaria/998-soho-libertad/planos-soho-libertad-5ae256652c331_s.jpg,"Cafetería,Directorio,Lobby,Salas de Reuniones,Otros,"
ZUMA,"ZUMA INMOBILIARIA S.A.C. es una empresa dedicada a la concepción, desarrollo, construcción y promoción de emprendimientos inmobiliarios en el Perú, comprometida con la identificación de las  necesidades del mercado y la innovación en el desarrollo de las soluciones a problemas reales de sus clientes.",https://dp34qvsykz8fe.cloudfront.net/customers/zuma-inmobiliaria/logo-185-20180522191826.jpg,https://nexoinmobiliario.pe/inmobiliaria/zuma-inmobiliaria,Soho Libertad Oficinas,Miraflores,https://nexoinmobiliario.pe/proyecto/venta-de-oficina-998-soho-libertad-oficinas-miraflores-lima-lima-zuma,Calle Libertad N° 174Cercado De Miraflores - Miraflores,Oficina,"01deJulio,2019",BancoBCP,ZUMAVerotrosproyectos>,SS03,Piso:,,78.17m2,"$177,600",1,https://dp34qvsykz8fe.cloudfront.net/customers/zuma-inmobiliaria/998-soho-libertad/planos-soho-libertad-5ae256653178e_s.jpg,"Cafetería,Directorio,Lobby,Salas de Reuniones,Otros,"
ZUMA,"ZUMA INMOBILIARIA S.A.C. es una empresa dedicada a la concepción, desarrollo, construcción y promoción de emprendimientos inmobiliarios en el Perú, comprometida con la identificación de las  necesidades del mercado y la innovación en el desarrollo de las soluciones a problemas reales de sus clientes.",https://dp34qvsykz8fe.cloudfront.net/customers/zuma-inmobiliaria/logo-185-20180522191826.jpg,https://nexoinmobiliario.pe/inmobiliaria/zuma-inmobiliaria,Soho Libertad Oficinas,Miraflores,https://nexoinmobiliario.pe/proyecto/venta-de-oficina-998-soho-libertad-oficinas-miraflores-lima-lima-zuma,Calle Libertad N° 174Cercado De Miraflores - Miraflores,Oficina,"01deJulio,2019",BancoBCP,ZUMAVerotrosproyectos>,X15,Piso:3,,59.52m2,"$142,300",1,https://dp34qvsykz8fe.cloudfront.net/customers/zuma-inmobiliaria/998-soho-libertad/planos-soho-libertad-5ae25665b10bc_s.jpg,"Cafetería,Directorio,Lobby,Salas de Reuniones,Otros,"
ZUMA,"ZUMA INMOBILIARIA S.A.C. es una empresa dedicada a la concepción, desarrollo, construcción y promoción de emprendimientos inmobiliarios en el Perú, comprometida con la identificación de las  necesidades del mercado y la innovación en el desarrollo de las soluciones a problemas reales de sus clientes.",https://dp34qvsykz8fe.cloudfront.net/customers/zuma-inmobiliaria/logo-185-20180522191826.jpg,https://nexoinmobiliario.pe/inmobiliaria/zuma-inmobiliaria,SoHo Life - Oficinas,Miraflores,https://nexoinmobiliario.pe/proyecto/venta-de-oficina-1553-soho-life-oficinas-miraflores-lima-lima-zuma,Calle Berlin 644 - Miraflores,Oficina,"31deDiciembre,2020",Otros,ZUMAVerotrosproyectos>,TipoX04A,Piso:2,,82.32m2,"$225,100",1,https://dp34qvsykz8fe.cloudfront.net/customers/zuma-inmobiliaria/1553-soho-life-oficinas/planos-soho-life-oficinas-5cf83d95445af_s.jpg,"Cafetería,Directorio,Lobby,Salas de Reuniones,Otros,"
ZUMA,"ZUMA INMOBILIARIA S.A.C. es una empresa dedicada a la concepción, desarrollo, construcción y promoción de emprendimientos inmobiliarios en el Perú, comprometida con la identificación de las  necesidades del mercado y la innovación en el desarrollo de las soluciones a problemas reales de sus clientes.",https://dp34qvsykz8fe.cloudfront.net/customers/zuma-inmobiliaria/logo-185-20180522191826.jpg,https://nexoinmobiliario.pe/inmobiliaria/zuma-inmobiliaria,SoHo Life - Oficinas,Miraflores,https://nexoinmobiliario.pe/proyecto/venta-de-oficina-1553-soho-life-oficinas-miraflores-lima-lima-zuma,Calle Berlin 644 - Miraflores,Oficina,"31deDiciembre,2020",Otros,ZUMAVerotrosproyectos>,TipoX05A,Piso:2,,162.42m2,"$403,600",1,https://dp34qvsykz8fe.cloudfront.net/customers/zuma-inmobiliaria/1553-soho-life-oficinas/planos-soho-life-oficinas-5cf83d9d6d283_s.jpg,"Cafetería,Directorio,Lobby,Salas de Reuniones,Otros,"
ZUMA,"ZUMA INMOBILIARIA S.A.C. es una empresa dedicada a la concepción, desarrollo, construcción y promoción de emprendimientos inmobiliarios en el Perú, comprometida con la identificación de las  necesidades del mercado y la innovación en el desarrollo de las soluciones a problemas reales de sus clientes.",https://dp34qvsykz8fe.cloudfront.net/customers/zuma-inmobiliaria/logo-185-20180522191826.jpg,https://nexoinmobiliario.pe/inmobiliaria/zuma-inmobiliaria,SoHo Life - Oficinas,Miraflores,https://nexoinmobiliario.pe/proyecto/venta-de-oficina-1553-soho-life-oficinas-miraflores-lima-lima-zuma,Calle Berlin 644 - Miraflores,Oficina,"31deDiciembre,2020",Otros,ZUMAVerotrosproyectos>,TipoX06,"Pisos:2,3,4,7",,168.19m2,"$422,700",4,https://dp34qvsykz8fe.cloudfront.net/customers/zuma-inmobiliaria/1553-soho-life-oficinas/planos-soho-life-oficinas-5cf83d8a5cc33_s.jpg,"Cafetería,Directorio,Lobby,Salas de Reuniones,Otros,"
ZUMA,"ZUMA INMOBILIARIA S.A.C. es una empresa dedicada a la concepción, desarrollo, construcción y promoción de emprendimientos inmobiliarios en el Perú, comprometida con la identificación de las  necesidades del mercado y la innovación en el desarrollo de las soluciones a problemas reales de sus clientes.",https://dp34qvsykz8fe.cloudfront.net/customers/zuma-inmobiliaria/logo-185-20180522191826.jpg,https://nexoinmobiliario.pe/inmobiliaria/zuma-inmobiliaria,SoHo Life - Oficinas,Miraflores,https://nexoinmobiliario.pe/proyecto/venta-de-oficina-1553-soho-life-oficinas-miraflores-lima-lima-zuma,Calle Berlin 644 - Miraflores,Oficina,"31deDiciembre,2020",Otros,ZUMAVerotrosproyectos>,TipoX01,"Pisos:3,4,7",,152.10m2,"$386,900",3,https://dp34qvsykz8fe.cloudfront.net/customers/zuma-inmobiliaria/1553-soho-life-oficinas/planos-soho-life-oficinas-5cf83d53ed686_s.jpg,"Cafetería,Directorio,Lobby,Salas de Reuniones,Otros,"
ZUMA,"ZUMA INMOBILIARIA S.A.C. es una empresa dedicada a la concepción, desarrollo, construcción y promoción de emprendimientos inmobiliarios en el Perú, comprometida con la identificación de las  necesidades del mercado y la innovación en el desarrollo de las soluciones a problemas reales de sus clientes.",https://dp34qvsykz8fe.cloudfront.net/customers/zuma-inmobiliaria/logo-185-20180522191826.jpg,https://nexoinmobiliario.pe/inmobiliaria/zuma-inmobiliaria,SoHo Life - Oficinas,Miraflores,https://nexoinmobiliario.pe/proyecto/venta-de-oficina-1553-soho-life-oficinas-miraflores-lima-lima-zuma,Calle Berlin 644 - Miraflores,Oficina,"31deDiciembre,2020",Otros,ZUMAVerotrosproyectos>,TipoX02,"Pisos:3,4,7",,138.81m2,"$353,300",3,https://dp34qvsykz8fe.cloudfront.net/customers/zuma-inmobiliaria/1553-soho-life-oficinas/planos-soho-life-oficinas-5cf83d5d42a51_s.jpg,"Cafetería,Directorio,Lobby,Salas de Reuniones,Otros,"
ZUMA,"ZUMA INMOBILIARIA S.A.C. es una empresa dedicada a la concepción, desarrollo, construcción y promoción de emprendimientos inmobiliarios en el Perú, comprometida con la identificación de las  necesidades del mercado y la innovación en el desarrollo de las soluciones a problemas reales de sus clientes.",https://dp34qvsykz8fe.cloudfront.net/customers/zuma-inmobiliaria/logo-185-20180522191826.jpg,https://nexoinmobiliario.pe/inmobiliaria/zuma-inmobiliaria,SoHo Life - Oficinas,Miraflores,https://nexoinmobiliario.pe/proyecto/venta-de-oficina-1553-soho-life-oficinas-miraflores-lima-lima-zuma,Calle Berlin 644 - Miraflores,Oficina,"31deDiciembre,2020",Otros,ZUMAVerotrosproyectos>,TipoX03,"Pisos:3,4,7",,220.60m2,"$535,300",3,https://dp34qvsykz8fe.cloudfront.net/customers/zuma-inmobiliaria/1553-soho-life-oficinas/planos-soho-life-oficinas-5cf83d671fd13_s.jpg,"Cafetería,Directorio,Lobby,Salas de Reuniones,Otros,"
ZUMA,"ZUMA INMOBILIARIA S.A.C. es una empresa dedicada a la concepción, desarrollo, construcción y promoción de emprendimientos inmobiliarios en el Perú, comprometida con la identificación de las  necesidades del mercado y la innovación en el desarrollo de las soluciones a problemas reales de sus clientes.",https://dp34qvsykz8fe.cloudfront.net/customers/zuma-inmobiliaria/logo-185-20180522191826.jpg,https://nexoinmobiliario.pe/inmobiliaria/zuma-inmobiliaria,SoHo Life - Oficinas,Miraflores,https://nexoinmobiliario.pe/proyecto/venta-de-oficina-1553-soho-life-oficinas-miraflores-lima-lima-zuma,Calle Berlin 644 - Miraflores,Oficina,"31deDiciembre,2020",Otros,ZUMAVerotrosproyectos>,TipoX04,Pisos:3y4,,112.16m2,"$293,600",2,https://dp34qvsykz8fe.cloudfront.net/customers/zuma-inmobiliaria/1553-soho-life-oficinas/planos-soho-life-oficinas-5cf83d77abf19_s.jpg,"Cafetería,Directorio,Lobby,Salas de Reuniones,Otros,"
ZUMA,"ZUMA INMOBILIARIA S.A.C. es una empresa dedicada a la concepción, desarrollo, construcción y promoción de emprendimientos inmobiliarios en el Perú, comprometida con la identificación de las  necesidades del mercado y la innovación en el desarrollo de las soluciones a problemas reales de sus clientes.",https://dp34qvsykz8fe.cloudfront.net/customers/zuma-inmobiliaria/logo-185-20180522191826.jpg,https://nexoinmobiliario.pe/inmobiliaria/zuma-inmobiliaria,SoHo Life - Oficinas,Miraflores,https://nexoinmobiliario.pe/proyecto/venta-de-oficina-1553-soho-life-oficinas-miraflores-lima-lima-zuma,Calle Berlin 644 - Miraflores,Oficina,"31deDiciembre,2020",Otros,ZUMAVerotrosproyectos>,TipoX05,Pisos:3y4,,165.51m2,"$415,600",2,https://dp34qvsykz8fe.cloudfront.net/customers/zuma-inmobiliaria/1553-soho-life-oficinas/planos-soho-life-oficinas-5cf83d80b5a45_s.jpg,"Cafetería,Directorio,Lobby,Salas de Reuniones,Otros,"
